Orthogroup,At Genes,Tau Min,Tau Z,At Node Betweenness Max,At Node Betweenness Z,At Node Strength Max,At Node Strength Z,At Node Degree Max,At Node Degree Z,At Node Closeness Max,At Node Closeness Z
OG0009887,AT5G06430,0.589861016,0.351269523,31110.63333,0.423399401,1638.3642,-0.046232804,559,0.055975311,9.82E-06,0.185931108
OG0009888,AT5G06830,0.54676928,0.608137424,29141.63333,0.296483655,2471.7662,0.568244446,806,0.687140527,1.01E-05,1.325201529
OG0009889,AT5G06940,0.843542569,-0.831221755,24370.23333,-0.043189213,1246.5795,-0.349666451,389,-0.360028511,8.99E-06,-0.859872568
OG0009892,AT5G07950,0.568683983,0.474938515,29220.2,0.301252791,2753.2964,0.782343693,885,0.919496373,9.84E-06,0.226621467
OG0009893,AT5G07960,0.522780065,0.744539861,18898.33333,-0.444446171,3205.6487,1.098014948,960,1.14301465,9.99E-06,0.638655505
OG0009894,MPB2C,0.499954906,0.892498253,16743.66667,-0.587286718,1697.369,-0.004864897,575,0.094091604,9.84E-06,0.221632849
OG0009895,HEMC,0.763331204,-0.495887112,15566.16667,-0.657787901,2475.7654,0.570389733,653,0.269897378,9.54E-06,-0.286331846
OG0009896,AT5G08540,0.664286622,-0.046863107,14366.73333,-0.750530157,2275.1729,0.424064629,693,0.373361802,9.57E-06,-0.236928479
OG0009897,RUG1,0.490557359,0.949409361,29977.41905,0.348373852,1244.6098,-0.350959634,419,-0.277473192,9.83E-06,0.20080129
OG0009898,AT5G08720,0.639992361,0.07529061,32007.06667,0.486122725,1819.4334,0.087069579,556,0.049276823,9.62E-06,-0.147390413
OG0009900,AT5G09830,0.51247925,0.806834533,11327.5,-0.957276036,2551.926,0.627880106,745,0.520984618,9.79E-06,0.124374298
OG0009901,PSAL,0.736392555,-0.378437614,3700,-1.67648178,1535.1291,-0.124067888,309,-0.567887152,8.67E-06,-1.072266845
OG0009902,AT5G11010,0.579693034,0.411993348,23697.33333,-0.093480814,2805.3871,0.817515039,880,0.907497786,9.81E-06,0.173570759
OG0009903,AT5G11240,0.84976431,-0.851432856,1758.333333,-2.036229485,4209.6714,2.003499266,914,1.005002426,9.22E-06,-0.658543074
OG0009905,DGS1,0.675163399,-0.095462282,34940.56667,0.68560127,2380.9723,0.501924652,793,0.647254492,1.00E-05,0.697185743
OG0009906,CHR8,0.465970934,1.121682627,42176.66667,1.130252785,2535.4284,0.615706409,764,0.572537649,9.73E-06,0.025847541
OG0009907,Pnsl5,0.644158692,0.052485651,34793.73333,0.67831184,3093.1043,1.018189172,852,0.824329172,9.72E-06,0.004864897
OG0009908,GILP,0.727481962,-0.341853966,40283.83333,1.012081113,1606.8791,-0.067856272,481,-0.126519495,9.57E-06,-0.229742213
OG0009909,EMB3136,0.733742834,-0.367348242,23142.36667,-0.134492552,2989.7198,0.942002872,784,0.623811949,9.59E-06,-0.20080129
OG0009910,DCP2,0.42969697,1.399132092,36362.03333,0.772881641,3089.8223,1.015130408,983,1.220000137,1.02E-05,1.672774664
OG0009911,ABO1,0.683766234,-0.136229143,27576.56667,0.182529259,3930.3216,1.714887571,1144,1.920238715,9.96E-06,0.551882839
OG0009912,P5CR,0.555098151,0.554587291,21978.9,-0.219763544,1819.2422,0.086764374,582,0.109067494,9.65E-06,-0.11641135
